start,end,text
0s,8.4s,"Welcome to English in a Minute. Most people enjoy going to parties. You get to be around"
8.4s,16.24s,"friends, eat food, and maybe listen to music. But do your parties ever have animals?"
16.24s,17.24s,"Party animal."
17.24s,21.48s,"Hey Jonathan, are you as ready as I am for the weekend?"
21.48s,27.96s,"Oh yeah. I'm going to my brother's birthday party on Friday. My cousin is having her graduation"
27.96s,32.72s,"party Saturday and I'm hosting a karaoke party on Sunday."
32.72s,37.04s,"Wow, you are quite the party animal, aren't you?"
37.04s,41.48s,"That's nothing. You should have seen me in college."
41.48s,49.72s,"A party animal is not an actual animal. It is a person who really enjoys going to parties."
49.72s,56.68s,"Most of their time is spent finding out where the latest and best party is going to be."
56.68s,58.02s,"And that's English in a minute."
58.02s,1m0.6s,"(upbeat music)"
